Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Kratownice / Podesty / Elementy montażowe;Nagłośnienie;Oświetlenie;Prąd;Transport;Obsługa;Inne;Suma;
;Nowoczesny Przemysł/Konferencja Industry X.0 4x2m;2026-06-30 18:38:06;Piechnik Piotr;Nowa;3 887,00 zł;975,00 zł;3 282,50 zł;676,00 zł;52,00 zł;1 250,00 zł;6 550,00 zł;0,00 zł;16 672,50 zł;
;Nowoczesny Przemysł/Konferencja Industry X.0 dioda 5x3;2026-07-06;Piechnik Piotr;Zaakceptowana;5 244,86 zł;905,01 zł;3 381,08 zł;621,26 zł;47,79 zł;1 250,00 zł;6 550,00 zł;0,00 zł;18 000,00 zł;
