Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Nagłośnienie;Prąd;Transport;Obsługa;Inne;Suma;
;Dobry Dźwięk/ streaming Żabka Polska/ Poznań (nowa);2026-07-16;Pazder Antoni;Nowa;1 565,00 zł;37,50 zł;100,00 zł;250,00 zł;2 200,00 zł;0,00 zł;4 152,50 zł;
;Dobry Dźwięk/ streaming Żabka Polska/ Poznań;2026-07-14 08:04:20;Pazder Antoni;Nowa;1 875,00 zł;37,50 zł;100,00 zł;300,00 zł;3 400,00 zł;0,00 zł;5 712,50 zł;
