Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Kratownice / Podesty / Elementy montażowe;Nagłośnienie;Oświetlenie;Transport;Obsługa;Inne;Suma;
;Inauguracja aula UAM/2026;2026-08-14;Piechnik Piotr;Nowa;0,00 zł;0,00 zł;0,00 zł;0,00 zł;0,00 zł;0,00 zł;0,00 zł;0,00 zł;
;Inauguracja aula UAM/2026 Dwa dni;2026-08-14;Piechnik Piotr;Nowa;15 132,00 zł;143,00 zł;10 920,00 zł;8 606,00 zł;1 000,00 zł;21 400,00 zł;0,00 zł;57 201,00 zł;
