Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Kratownice / Podesty / Elementy montażowe;Nagłośnienie;Oświetlenie;Transport;Obsługa;Inne;Suma;
;AHK/ konferencja „Klub Finansistów Regionalnych”/ Poznań;2026-07-22 10:13:54;Pazder Antoni;Nowa;9 052,50 zł;603,75 zł;3 723,75 zł;592,50 zł;600,00 zł;8 400,00 zł;0,00 zł;22 972,50 zł;
;AHK/ konferencja „Klub Finansistów Regionalnych” WARSZAWA/ GDAŃSK/ WROCŁAW/ KATOWICE (jedna lokalizacja);2026-07-22;Pazder Antoni;Nowa;2 625,00 zł;45,00 zł;1 698,75 zł;592,50 zł;1 575,00 zł;7 050,00 zł;0,00 zł;13 586,25 zł;
