Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Kratownice / Podesty / Elementy montażowe;Nagłośnienie;Oświetlenie;Transport;Obsługa;Inne;Suma;
;Partner / IFA / Berlin (CHANGHONG) (oświetlenie);2026-07-30;Studencki Jan;Nowa;300,00 zł;0,00 zł;0,00 zł;1 110,00 zł;0,00 zł;0,00 zł;0,00 zł;1 410,00 zł;
;Partner / IFA / Berlin (flex);2026-07-14;Studencki Jan;Nowa;53 480,99 zł;2 193,16 zł;2 825,85 zł;0,00 zł;12 500,00 zł;29 000,00 zł;0,00 zł;100 000,00 zł;
;Partner / IFA / Berlin;2026-07-13 13:18:02;Studencki Jan;Nowa;51 405,00 zł;2 422,50 zł;2 820,00 zł;0,00 zł;12 500,00 zł;31 400,00 zł;0,00 zł;100 547,50 zł;
