Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Kratownice / Podesty / Elementy montażowe;Nagłośnienie;Oświetlenie;Transport;Obsługa;Inne;Suma;
;ArtEvents/ 35-lecie Okręgowej Izby Pielęgniarek i Położnych (monitory);2026-07-21;Pazder Antoni;Nowa;4 800,00 zł;372,00 zł;996,00 zł;3 000,00 zł;600,00 zł;5 400,00 zł;0,00 zł;15 168,00 zł;
;ArtEvents/ 35-lecie Okręgowej Izby Pielęgniarek i Położnych;2026-07-21 10:14:57;Pazder Antoni;Zaakceptowana;2 850,00 zł;372,00 zł;996,00 zł;3 000,00 zł;300,00 zł;5 400,00 zł;0,00 zł;12 918,00 zł;
