;;Zdjęcie;Nazwa;Ilość;B;Pakowany;Czas pracy;Grupy sprzętowe;Komentarz;Notatka;Objętość;Waga;Status;Wydania;Miejsce;Id;
;;;Alustage Noga teleskopowa 80-140cm;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;20;;Notatka;0.2 m3;48 kg;Brak statusu;Zwrócony;PARTER 2/A;286;
Drabiny;;;;;;;;;;;;;;;;;
Kotary;;;;;;;;;;;;;;;;;
Kratownice;;;;;;;;;;;;;;;;;
;;;Alustage kratownica Quadro 0,5m czarna;Ilość;;1 szt.;Cały event;2;;Notatka;0.08 m3;9.8 kg;Brak statusu;;;281;
;;;Alustage kratownica Quadro 3m czarna;Ilość;;1 szt.;Cały event;3;;Notatka;0.75 m3;65.1 kg;Brak statusu;;PIETRO;284;
Obciążenie;;;;;;;;;;;;;;;;;
;;;Podstawa do kratownicy Alustage 80x80 cm czarna;Ilość;;6 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;6;;Notatka;0.36 m3;169.2 kg;Brak statusu;Zwrócony;PARTER 2/A;221;
;;;Balast 25kg;Ilość;;1 szt.;Cały event;6;;Notatka;0 m3;150 kg;Brak statusu;;CHODNIK OBOK POMPY CIEPŁA;154;
Podesty;;;;;;;;;;;;;;;;;
;;;Podest sceniczny Alustage 1x0,5m;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;7;;Notatka;0.35 m3;85.4 kg;Brak statusu;Zwrócony;;96;
Statywy;;;;;;;;;;;;;;;;;
Zastawki;;;;;;;;;;;;;;;;;
;;;Zastawki komplet (3szt);Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;2;;Notatka;0.22 m3;90 kg;Brak statusu;Zwrócony;PARTER 1/A;270;
Meble cateringowe;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Akcesoria nagłośnienie;;;;;;;;;;;;;;;;;
Kolumny aktywne;;;;;;;;;;;;;;;;;
Kolumny pasywne;;;;;;;;;;;;;;;;;
Końcówki mocy;;;;;;;;;;;;;;;;;
Mikrofony przewodowe;;;;;;;;;;;;;;;;;
Mikrofony bezprzewodowe;;;;;;;;;;;;;;;;;
Miksery audio;;;;;;;;;;;;;;;;;
Symultana;;;;;;;;;;;;;;;;;
Łączność;;;;;;;;;;;;;;;;;
;;;Zestaw słuchawkowy Intercom Vokkero;Ilość;;4 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;4;;Notatka;0.13 m3;15.2 kg;Brak statusu;Zwrócony;;422;
Okablowanie nagłośnienie;;;;;;;;;;;;;;;;;
Statywy mikrofonowe;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Akcesoria oświetlenie;;;;;;;;;;;;;;;;;
;;;Maltec Wiatrak Czarny;Ilość;;1 szt.;Cały event;1;;Notatka;0.05 m3;3.4 kg;Brak statusu;;PIETRO;513;
;;-;Rack MDG Atme;Ilość;;szt.;Cały event;1;;Notatka;0 m3;0 kg;Brak statusu;;;557;
Ruchome głowy;;;;;;;;;;;;;;;;;
;;;LEDWash Robe 600X;Ilość;;4 szt.;Cały event;8;;Notatka;0.7 m3;189.2 kg;Brak statusu;;;169;
;;;AYRTON Stradale Profile;Ilość;;2 szt.;Cały event;6;;Notatka;1.08 m3;270 kg;Brak statusu;;;606;
Led Bary;;;;;;;;;;;;;;;;;
Sterowniki/Konsole;;;;;;;;;;;;;;;;;
Led Pary;;;;;;;;;;;;;;;;;
Naświetlacze;;;;;;;;;;;;;;;;;
Okablowanie oświetleniowe;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Kable 230 V;;;;;;;;;;;;;;;;;
Kable Siłowe;;;;;;;;;;;;;;;;;
Przejściówki siłowe;;;;;;;;;;;;;;;;;
Rozdzielnie elektryczne;;;;;;;;;;;;;;;;;
;;;Rozdzielnia Elektryczna 32A;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0.069552 m3;17 kg;Brak statusu;Zwrócony;PARTER 1/B;123;
UPS-y;;;;;;;;;;;;;;;;;
;;;UPS EAST 2.7kW;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0.16038 m3;44 kg;Brak statusu;Zwrócony;PARTER 1/B;42;
Klapki prądowe;;;;;;;;;;;;;;;;;
IT/ SIEĆ;;;;;;;;;;;;;;;;;
IT/ SIEĆ;;;;;;;;;;;;;;;;;
Serwery plików;;;;;;;;;;;;;;;;;
Acces Pointy;;;;;;;;;;;;;;;;;
Routery;;;;;;;;;;;;;;;;;
;;;Router;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0.005952 m3;1.2 kg;Brak statusu;Zwrócony;PARTER 2/C;101;
Switche;;;;;;;;;;;;;;;;;
;;;Switch 8 portów;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0.00286 m3;0.5 kg;Brak statusu;Zwrócony;PARTER 2/C;48;
Okablowanie sieciowe;;;;;;;;;;;;;;;;;
Mikrokomputery;;;;;;;;;;;;;;;;;
Akcesoria IT;;;;;;;;;;;;;;;;;
Inne;;;;;;;;;;;;;;;;;
Inne;;;;;;;;;;;;;;;;;
Narzędzia;;;;;;;;;;;;;;;;;
Narzędzia;;;;;;;;;;;;;;;;;
Wkrętarki;;;;;;;;;;;;;;;;;
Piły;;;;;;;;;;;;;;;;;
Wieratarki;;;;;;;;;;;;;;;;;
Szlifierki;;;;;;;;;;;;;;;;;
Wyrzynarki;;;;;;;;;;;;;;;;;
Poziomnice;;;;;;;;;;;;;;;;;
Nagrzewnice;;;;;;;;;;;;;;;;;
