Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Kratownice / Podesty / Elementy montażowe;Nagłośnienie;Oświetlenie;Prąd;Transport;Obsługa;Inne;Suma;
;Galop/Konferencja budowlana z riderem termin do ustalenia (Kwiecień);2026-07-03;Piechnik Piotr;Nowa;2 960,00 zł;2 450,00 zł;5 930,00 zł;6 850,50 zł;200,00 zł;3 960,00 zł;21 250,00 zł;0,00 zł;43 600,50 zł;
;Galop/Konferencja budowlana z riderem termin do ustalenia (Kwiecień) v2;2026-07-03;Piechnik Piotr;Nowa;2 925,00 zł;1 787,50 zł;5 310,50 zł;6 584,50 zł;130,00 zł;3 960,00 zł;21 500,00 zł;0,00 zł;42 197,50 zł;
