Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Nagłośnienie;Transport;Obsługa;Inne;Suma;
;JACARDI / Uniwersytet Medyczny w Poznaniu / Poznań;2026-07-23 11:07:08;Studencki Jan;Nowa;10 803,00 zł;7 176,00 zł;300,00 zł;24 000,00 zł;0,00 zł;42 279,00 zł;
;JACARDI / Uniwersytet Medyczny w Poznaniu / Poznań (nowa);2026-07-23;Studencki Jan;Nowa;13 704,00 zł;7 468,50 zł;300,00 zł;19 200,00 zł;0,00 zł;40 672,50 zł;
