Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Transport;Obsługa;Inne;Suma;
;Dobry Dźwięk/Polana na Malcie/2x TV 75 z montażem i transportem;2026-06-24 09:31:27;Piechnik Piotr;Nowa;1 675,00 zł;500,00 zł;1 600,00 zł;0,00 zł;3 775,00 zł;
;Dobry Dźwięk/Polana na Malcie/2x TV 75 z montażem i transportem (nowa);2026-07-06;Piechnik Piotr;Zaakceptowana;800,00 zł;500,00 zł;1 600,00 zł;0,00 zł;2 900,00 zł;
