;;Zdjęcie;Nazwa;Ilość;B;Pakowany;Czas pracy;Grupy sprzętowe;Komentarz;Notatka;Objętość;Waga;Status;Wydania;Miejsce;Id;
;;;Aktywna kolumna ElectroVoice ZLX 12P;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;10;;Notatka;1 m3;170 kg;Brak statusu;;;15;
;;;Aktywna kolumna DAS Audio Action-508A;Ilość;;2 szt.4 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;2;;Notatka;0.15 m3;40.2 kg;Brak statusu;;;184;
Kolumny pasywne;;;;;;;;;;;;;;;;;
Końcówki mocy;;;;;;;;;;;;;;;;;
Mikrofony przewodowe;;;;;;;;;;;;;;;;;
Mikrofony bezprzewodowe;;;;;;;;;;;;;;;;;
;;-;Rack 4x Mikrofon bezprzewodowy Shure QLXD;Ilość;;szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;1;;Notatka;0 m3;0 kg;Brak statusu;;;406;
Miksery audio;;;;;;;;;;;;;;;;;
;;;Mikser cyfrowy audio Allen & Heath SQ5;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;1;;Notatka;0.108332 m3;24.5 kg;Brak statusu;;PARTER 1/B;50;
Symultana;;;;;;;;;;;;;;;;;
Łączność;;;;;;;;;;;;;;;;;
Okablowanie nagłośnienie;;;;;;;;;;;;;;;;;
Statywy mikrofonowe;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Akcesoria oświetlenie;;;;;;;;;;;;;;;;;
Ruchome głowy;;;;;;;;;;;;;;;;;
;;;LEDWash Robe 600X;Ilość;;4 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;8;;Notatka;0.7 m3;189.2 kg;Brak statusu;;;169;
Led Bary;;;;;;;;;;;;;;;;;
Sterowniki/Konsole;;;;;;;;;;;;;;;;;
;;;ChamSys MagicQ DMX FULL USB Interface;Ilość konflikt: 1szt.;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;0;;Notatka;0 m3;0 kg;Brak statusu;;PIETRO;150;
Led Pary;;;;;;;;;;;;;;;;;
Naświetlacze;;;;;;;;;;;;;;;;;
Okablowanie oświetleniowe;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Kable 230 V;;;;;;;;;;;;;;;;;
Kable Siłowe;;;;;;;;;;;;;;;;;
Przejściówki siłowe;;;;;;;;;;;;;;;;;
Rozdzielnie elektryczne;;;;;;;;;;;;;;;;;
;;;Rozdzielnia Elektryczna 32A;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;2;;Notatka;0.139104 m3;34 kg;Brak statusu;;PARTER 1/B;123;
UPS-y;;;;;;;;;;;;;;;;;
Klapki prądowe;;;;;;;;;;;;;;;;;
IT/ SIEĆ;;;;;;;;;;;;;;;;;
