Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Kratownice / Podesty / Elementy montażowe;Nagłośnienie;Oświetlenie;Prąd;Transport;Obsługa;Inne;Suma;
;4 Seasons events / Konferencja / Częstochowa Hotel Arche;2026-07-29;Piechnik Piotr;Nowa;6 780,00 zł;885,00 zł;3 522,00 zł;2 202,00 zł;48,00 zł;1 335,00 zł;11 100,00 zł;0,00 zł;25 872,00 zł;
;4 Seasons events / Konferencja / Częstochowa Hotel Arche dwa dni;2026-07-29;Piechnik Piotr;Nowa;13 560,00 zł;1 770,00 zł;6 504,00 zł;3 924,00 zł;96,00 zł;1 335,00 zł;13 800,00 zł;0,00 zł;40 989,00 zł;
