;#;Nazwa;Ilość;Sekcja;Waga;Objętość;Komentarz;Grupy sprzętowe;Status;
;1;Okablowanie i akcesoria;1;Oświetlenie;0;0;-;1;-;
;2;Okablowanie zasilające;1;Prąd;0;0;-;1;-;
