Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Kratownice / Podesty / Elementy montażowe;Nagłośnienie;Oświetlenie;Prąd;IT/ SIEĆ;Transport;Obsługa;Inne;Suma;
;SOS/ 25lecie firmy/ Żnin;2026-06-22 04:49:32;Jazurek Wojciech;Nowa;6 062,97 zł;627,47 zł;112,04 zł;903,75 zł;104,57 zł;39,21 zł;1 050,00 zł;5 100,00 zł;0,00 zł;14 000,00 zł;
;SOS/ 25lecie firmy/ Żnin;2026-06-22 04:46:32;Jazurek Wojciech;Nowa;8 117,50 zł;840,10 zł;150,00 zł;0,00 zł;140,00 zł;52,50 zł;0,00 zł;0,00 zł;0,00 zł;9 300,10 zł;
