Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Nagłośnienie;Transport;Obsługa;Inne;Suma;
;Concordia Design/Konferencja Obserwatorium/2026 (nowa);2026-07-09;Piechnik Piotr;Nowa;3 640,00 zł;780,00 zł;500,00 zł;11 400,00 zł;0,00 zł;16 320,00 zł;
;Concordia Design/Konferencja Obserwatorium/2026;2026-07-08;Piechnik Piotr;Nowa;3 640,00 zł;2 275,00 zł;500,00 zł;11 400,00 zł;0,00 zł;17 815,00 zł;
