;Zdjęcie;Nazwa;Numer rejestracyjny;Ładowność;Pojemność;Data przeglądu;OC ważne do;Czas pracy;
;;Renault Master Nowy;WE 6C625;1316.00;-;2027-05-26;2027-05-25;2026-08-14 10:00:00 - 2026-08-14 18:00:00 2026-08-15 08:00:00 - 2026-08-15 20:00:00;
;;MAN TGE CZERWONY;WPR4197U;1145.00;-;2027-12-19;2026-06-25;2026-08-14 10:00:00 - 2026-08-14 18:00:00 2026-08-15 08:00:00 - 2026-08-15 20:00:00;
