Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Kratownice / Podesty / Elementy montażowe;Nagłośnienie;Prąd;Transport;Obsługa;Inne;Suma;
;BSCAV/Dioda Outdoor 6x3m na bramce/Bydgoszcz/2026 (nowa);2026-08-10;Piechnik Piotr;Nowa;4 172,93 zł;2 230,20 zł;904,14 zł;92,73 zł;2 150,00 zł;6 450,00 zł;0,00 zł;16 000,00 zł;
;BSCAV/Dioda Outdoor 6x3m na bramce/Bydgoszcz/2026;2026-07-29;Piechnik Piotr;Nowa;3 932,50 zł;1 150,50 zł;0,00 zł;52,00 zł;2 150,00 zł;6 450,00 zł;0,00 zł;13 735,00 zł;
