;#;Nazwa;Ilość;Sekcja;Waga;Objętość;Komentarz;Grupy sprzętowe;Status;
;1;Optyka;1;Multimedia;0;0;DLE 350 od VR;1;-;
;2;Okablowanie i akcesoria;1;Oświetlenie;0;0;-;1;-;
;3;Okablowanie i akcesoria;1;Multimedia;0;0;-;1;-;
