;Zdjęcie;Nazwa;Numer rejestracyjny;Ładowność;Pojemność;Data przeglądu;OC ważne do;Czas pracy;
;;MAN TGE NIEBIESKI;WPR4185U;1145.00;-;2027-12-19;2026-06-23;2026-07-07 07:00:00 - 2026-07-07 13:00:00 2026-07-07 19:00:00 - 2026-07-07 22:00:00;
;;MAN TGE CZERWONY;WPR4197U;1145.00;-;2027-12-19;2026-06-25;2026-07-07 07:00:00 - 2026-07-07 13:00:00 2026-07-07 19:00:00 - 2026-07-07 22:00:00;
