Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;IT/ SIEĆ;Transport;Obsługa;Inne;Suma;
;InspireCongress / KLOS/ Lublin/ 2026;2026-07-21;Pazder Antoni;Nowa;4 680,00 zł;513,50 zł;1 455,00 zł;7 400,00 zł;0,00 zł;14 048,50 zł;
;nspireCongress / KLOS/ Lublin/ 2026;2026-07-20 13:47:54;Pazder Antoni;Nowa;4 680,00 zł;513,50 zł;1 455,00 zł;3 400,00 zł;0,00 zł;10 048,50 zł;
