Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Kratownice / Podesty / Elementy montażowe;Nagłośnienie;Oświetlenie;IT/ SIEĆ;Transport;Obsługa;Inne;Suma;
;Galop/ konferencja/ Wrocław/ 2027 (transmisja);2026-07-22;Pazder Antoni;Nowa;8 346,00 zł;39,00 zł;3 315,00 zł;1 001,00 zł;513,50 zł;1 440,00 zł;8 600,00 zł;0,00 zł;23 254,50 zł;
;Galop/ konferencja/ Wrocław/ 2027;2026-07-21 12:30:19;Pazder Antoni;Nowa;5 486,00 zł;0,00 zł;3 315,00 zł;832,00 zł;513,50 zł;900,00 zł;6 900,00 zł;0,00 zł;17 946,50 zł;
