Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Kratownice / Podesty / Elementy montażowe;Prąd;Transport;Obsługa;Inne;Suma;
;Dobry Dźwięk/ event H&M/ Gądki Ekran LED 4x2.5m i 1x 2.5m;2026-08-14;Piechnik Piotr;Nowa;4 435,00 zł;217,50 zł;140,00 zł;500,00 zł;5 700,00 zł;0,00 zł;10 992,50 zł;
;Dobry Dźwięk/ event H&M/ Gądki TV;2026-08-13;Piechnik Piotr;Nowa;3 040,00 zł;0,00 zł;0,00 zł;500,00 zł;3 300,00 zł;0,00 zł;6 840,00 zł;
