;Zdjęcie;Nazwa;Numer rejestracyjny;Ładowność;Pojemność;Data przeglądu;OC ważne do;Czas pracy;
;;Renault Master Najnowszy;WE 2FC43;1301.00;-;2028-10-27;2026-10-08;2026-06-30 08:00:00 - 2026-06-30 15:00:00 2026-07-01 00:00:00 - 2026-07-01 23:55:00 2026-07-02 00:00:00 - 2026-07-02 23:55:00;
;;MAN TGE CZERWONY;WPR4197U;1145.00;-;2027-12-19;2026-06-25;2026-06-30 08:00:00 - 2026-06-30 15:00:00 2026-07-01 00:00:00 - 2026-07-01 23:55:00 2026-07-02 00:00:00 - 2026-07-02 23:55:00;
