Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Kratownice / Podesty / Elementy montażowe;Prąd;Transport;Obsługa;Inne;Suma;
;Dobry Dźwięk/koncert Kayah/MTP Poznan/2026;2026-07-17 12:49:07;Piechnik Piotr;Nowa;4 335,00 zł;70,00 zł;40,00 zł;500,00 zł;5 400,00 zł;0,00 zł;10 345,00 zł;
;Dobry Dźwięk/koncert Kayah/MTP Poznan/2026;2026-07-17;Piechnik Piotr;Nowa;7 950,00 zł;0,00 zł;0,00 zł;250,00 zł;2 400,00 zł;0,00 zł;10 600,00 zł;
