Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Transport;Obsługa;Inne;Suma;
;Dobry Dźwiek/ 2x TV 75 z laptopem i okablowanie, 1x43 podgląd z laptopem i okablowaniem (nowa);2026-07-09;Piechnik Piotr;Zaakceptowana;1 425,00 zł;250,00 zł;1 350,00 zł;0,00 zł;3 025,00 zł;
;Dobry Dźwiek/ 2x TV 75 z laptopem i okablowanie, 1x43 podgląd z laptopem i okablowaniem;2026-06-24;Piechnik Piotr;Oferta przegrana;1 275,00 zł;250,00 zł;2 150,00 zł;0,00 zł;3 675,00 zł;
