status;base_name;survivor_model_id;old_model_id;old_model_name;extracted_number;marker;item_id;old_item_number;new_item_number;old_item_name;new_item_name;note
PLAN;KABINET ABSEN NT3.9W V2 0,5 x 1m;285;290;KABINET ABSEN NT3.9W V2 0,5 x 1m;;NONE;446;15;15;KABINET ABSEN NT3.9W V2 0,5 x 1m [15];KABINET ABSEN NT3.9W V2 0,5 x 1m [15];
PLAN;KABINET ABSEN NT3.9W V2 0,5 x 1m;285;291;KABINET ABSEN NT3.9W V2 0,5 x 1m;;NONE;160;16;16;KABINET ABSEN NT3.9W V2 0,5 x 1m [16];KABINET ABSEN NT3.9W V2 0,5 x 1m [16];
PLAN;KABINET ABSEN NT3.9W V2 0,5 x 1m;285;292;KABINET ABSEN NT3.9W V2 0,5 x 1m;;NONE;406;17;17;KABINET ABSEN NT3.9W V2 0,5 x 1m [17];KABINET ABSEN NT3.9W V2 0,5 x 1m [17];
PLAN;KABINET ABSEN NT3.9W V2 0,5 x 1m;285;293;KABINET ABSEN NT3.9W V2 0,5 x 1m;;NONE;416;18;18;KABINET ABSEN NT3.9W V2 0,5 x 1m [18];KABINET ABSEN NT3.9W V2 0,5 x 1m [18];
PLAN;KABINET ABSEN NT3.9W V2 0,5 x 1m;285;294;KABINET ABSEN NT3.9W V2 0,5 x 1m;;NONE;344;19;19;KABINET ABSEN NT3.9W V2 0,5 x 1m [19];KABINET ABSEN NT3.9W V2 0,5 x 1m [19];
PLAN;Kablarka;162;172;Kablarka [1];1;NUMBER_SUFFIX_BRACKET_CONDITIONAL;211;1;1;Kablarka [1];Kablarka [1];Numer 1 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;183;Kablarka [2];2;NUMBER_SUFFIX_BRACKET_CONDITIONAL;116;2;2;Kablarka [2];Kablarka [2];Numer 2 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;184;Kablarka [3];3;NUMBER_SUFFIX_BRACKET_CONDITIONAL;325;3;3;Kablarka [3];Kablarka [3];Numer 3 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;185;Kablarka [4];4;NUMBER_SUFFIX_BRACKET_CONDITIONAL;398;4;4;Kablarka [4];Kablarka [4];Numer 4 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;186;Kablarka [5];5;NUMBER_SUFFIX_BRACKET_CONDITIONAL;45;5;5;Kablarka [5];Kablarka [5];Numer 5 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;187;Kablarka [6];6;NUMBER_SUFFIX_BRACKET_CONDITIONAL;465;6;6;Kablarka [6];Kablarka [6];Numer 6 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;188;Kablarka [7];7;NUMBER_SUFFIX_BRACKET_CONDITIONAL;230;7;7;Kablarka [7];Kablarka [7];Numer 7 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;189;Kablarka [8];8;NUMBER_SUFFIX_BRACKET_CONDITIONAL;182;8;8;Kablarka [8];Kablarka [8];Numer 8 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;190;Kablarka [9];9;NUMBER_SUFFIX_BRACKET_CONDITIONAL;63;9;9;Kablarka [9];Kablarka [9];Numer 9 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;162;Kablarka [10];10;NUMBER_SUFFIX_BRACKET_CONDITIONAL;438;10;10;Kablarka [10];Kablarka [10];Numer 10 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;163;Kablarka [11];11;NUMBER_SUFFIX_BRACKET_CONDITIONAL;184;11;11;Kablarka [11];Kablarka [11];Numer 11 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;164;Kablarka [12];12;NUMBER_SUFFIX_BRACKET_CONDITIONAL;159;12;12;Kablarka [12];Kablarka [12];Numer 12 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
