Duplikuj;Nazwa Projektu;Data sporządzenia ofery;Przygotował;Status;Multimedia;Kratownice / Podesty / Elementy montażowe;Prąd;Transport;Obsługa;Inne;Suma;
;Marcin Woźniak/BitterSweet dioda outdoor 2x 3x2m p 3.9 wisząca/Cytadela Poznań/2026;2026-07-30;Piechnik Piotr;Nowa;6 840,00 zł;4 491,00 zł;234,00 zł;750,00 zł;4 800,00 zł;0,00 zł;17 115,00 zł;
;Marcin Woźniak/BitterSweet dioda outdoor 2x 4x3m wisząca/Cytadela Poznań/2026;2026-07-09;Piechnik Piotr;Nowa;12 330,00 zł;1 008,00 zł;144,00 zł;1 000,00 zł;4 800,00 zł;0,00 zł;19 282,00 zł;
