;Zdjęcie;Nazwa pliku;Typ;Dodał;Komentarz;
;;future_mining_9_11092026_full_wer_pixel_09_07_2026.xlsx;Plik;Dominik Kuźma 2026-07-15 15:39:58;Edytuj;
;;future_mining_9_11092026_light_wer_pixel_09_07_2026.xlsx;Plik;Dominik Kuźma 2026-07-15 15:39:59;Edytuj;
